id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,Listing 1,8270,Host 1,Ciutat Vella,Sant Pere,41.36586051052931,2.1830703361068564,Entire home/apt,446,4,156,2026-04-10,1.8190482057046675,8,125
2,Listing 2,1860,Host 2,Eixample,El Raval,41.438087075919896,2.1458286465987038,Entire home/apt,149,9,177,2025-12-18,0.9536299379544733,4,344
3,Listing 3,6390,Host 3,Eixample,Sant Pere,41.43718435277452,2.1595472275611427,Entire home/apt,80,11,97,2026-03-01,1.735311842496975,3,225
4,Listing 4,6191,Host 4,Gràcia,Barri Gòtic,41.35292472830346,2.1670803810757255,Private room,435,5,140,2025-07-17,2.7361876021032154,8,220
5,Listing 5,6734,Host 5,Ciutat Vella,Sant Pere,41.432581675056475,2.1900891500040927,Private room,65,5,128,,4.958864404896247,2,210
6,Listing 6,7265,Host 6,Horta-Guinardó,Sant Pere,41.36288698674735,2.1773519141544746,Private room,186,6,161,2026-04-07,3.3210085653589285,3,24
7,Listing 7,1466,Host 7,Horta-Guinardó,La Barceloneta,41.38351188542592,2.2379087959821624,Entire home/apt,378,1,92,,0.9962297720415703,3,15
8,Listing 8,5426,Host 8,Eixample,Sant Pere,41.42435082562916,2.1745445224358746,Private room,215,1,175,2025-06-18,0.22480720795775566,1,181
9,Listing 9,6578,Host 9,Ciutat Vella,Sant Pere,41.36607598960483,2.248823702223497,Entire home/apt,359,9,47,,0.631782406572553,6,328
10,Listing 10,9322,Host 10,Eixample,Poble Sec,41.43179670241191,2.2277137436617642,Shared room,489,3,176,,2.8127760063652367,2,128
11,Listing 11,2685,Host 11,Sants-Montjuïc,Barri Gòtic,41.43321341779578,2.1312765771536006,Private room,149,4,63,2025-07-17,3.825801644083832,1,41
12,Listing 12,1769,Host 12,Eixample,La Barceloneta,41.400746773376085,2.2395892821965875,Entire home/apt,158,1,60,2025-09-05,4.702096036503734,2,335
13,Listing 13,7949,Host 13,Eixample,Poble Sec,41.35063858717169,2.1174549596828216,Private room,392,9,156,2026-04-19,0.07911585998410409,6,235
14,Listing 14,3433,Host 14,Horta-Guinardó,Sants,41.37870381331749,2.222617456273679,Entire home/apt,222,8,38,2026-01-31,2.613800707809349,4,359
15,Listing 15,6311,Host 15,Horta-Guinardó,Barri Gòtic,41.41169269183758,2.157093494021487,Private room,286,2,127,2025-10-30,2.354336781115884,6,33
16,Listing 16,6051,Host 16,Horta-Guinardó,Barri Gòtic,41.44811861780275,2.2316961480667605,Entire home/apt,211,8,87,2026-01-02,3.28027510987852,9,344
17,Listing 17,7420,Host 17,Sants-Montjuïc,Sants,41.41318135270167,2.2302085035161174,Entire home/apt,442,7,25,2025-11-01,2.79789427232671,8,44
18,Listing 18,2184,Host 18,Horta-Guinardó,Sant Pere,41.37598035810642,2.220888810017643,Private room,265,11,16,,3.435195752912403,1,133
19,Listing 19,5555,Host 19,Ciutat Vella,Poble Sec,41.41340057030996,2.218504565446059,Entire home/apt,313,6,70,2025-10-21,3.2904129237459516,8,20
20,Listing 20,4385,Host 20,Gràcia,El Raval,41.40399853797159,2.145701870864706,Private room,312,1,12,2025-06-17,0.585058624289731,9,121
21,Listing 21,7396,Host 21,Ciutat Vella,La Barceloneta,41.427984539515116,2.112137892457688,Entire home/apt,341,7,68,2026-03-31,3.998589568093598,6,69
22,Listing 22,9666,Host 22,Ciutat Vella,El Raval,41.360698063882694,2.1604470268147744,Private room,323,10,25,2025-07-22,0.6161628785816242,5,351
23,Listing 23,3558,Host 23,Horta-Guinardó,Sants,41.426102790250205,2.126028677247976,Private room,52,7,48,,3.4926531260456857,6,360
24,Listing 24,8849,Host 24,Gràcia,Barri Gòtic,41.404126657867614,2.204242663335369,Entire home/apt,77,13,194,2026-03-13,2.0807268382030335,6,47
25,Listing 25,3047,Host 25,Gràcia,Barri Gòtic,41.4462992003859,2.151914958980668,Entire home/apt,375,9,6,2025-06-05,2.5692536728829896,9,38
26,Listing 26,3747,Host 26,Gràcia,La Barceloneta,41.38418721660387,2.246341530128987,Entire home/apt,477,1,57,2025-10-19,4.516490071878553,4,286
27,Listing 27,1189,Host 27,Sants-Montjuïc,Barri Gòtic,41.4132621893134,2.1961458116018,Entire home/apt,198,2,48,2025-04-27,4.449418632367433,2,9
28,Listing 28,3734,Host 28,Horta-Guinardó,Barri Gòtic,41.44320281055101,2.2233720845451543,Entire home/apt,77,11,102,,4.089281528275148,9,29
29,Listing 29,4005,Host 29,Gràcia,La Barceloneta,41.36025097279907,2.1198787009112774,Private room,359,9,52,2025-11-25,2.5507419022816165,2,243
30,Listing 30,5658,Host 30,Sants-Montjuïc,Poble Sec,41.443722848723645,2.2293021723408932,Shared room,487,13,192,2025-12-24,3.6811990506691656,9,273
31,Listing 31,2899,Host 31,Eixample,Poble Sec,41.418788572230085,2.238413578577009,Private room,114,9,61,2025-10-10,2.5644852775940468,2,87
32,Listing 32,8734,Host 32,Eixample,La Barceloneta,41.356783705910516,2.1730592878228405,Private room,405,13,16,2025-06-01,4.3480304123738875,8,243
33,Listing 33,2267,Host 33,Sants-Montjuïc,Sants,41.380096356694686,2.190937940662647,Private room,70,6,170,2026-01-29,2.0138791661644992,9,328
34,Listing 34,2528,Host 34,Sants-Montjuïc,Barri Gòtic,41.420817208864534,2.214721470135449,Private room,301,6,24,2026-01-05,4.851176722074384,9,14
35,Listing 35,4556,Host 35,Horta-Guinardó,Barri Gòtic,41.35673506014688,2.126225794089062,Entire home/apt,284,4,130,2025-04-28,4.661613791144388,9,3
36,Listing 36,4890,Host 36,Horta-Guinardó,Sants,41.40821704601763,2.1753849114695165,Shared room,276,4,28,2025-05-26,3.7080130972589274,2,190
37,Listing 37,9838,Host 37,Eixample,Poble Sec,41.384588305695296,2.159799454165847,Private room,62,5,116,,1.39707942088036,4,167
38,Listing 38,6393,Host 38,Gràcia,Sant Pere,41.41209155177675,2.1219560988243376,Entire home/apt,362,3,159,2025-07-23,0.658267943966292,7,8
39,Listing 39,9792,Host 39,Eixample,Sant Pere,41.354574203381254,2.15513016334373,Entire home/apt,98,1,25,2026-01-29,4.2735172504659875,2,108
40,Listing 40,9433,Host 40,Gràcia,Sant Pere,41.43715368061524,2.110225846407824,Entire home/apt,167,1,123,2025-12-05,0.8265114306898064,1,136
41,Listing 41,8513,Host 41,Gràcia,Poble Sec,41.447348896917745,2.103871786042423,Entire home/apt,103,12,143,2025-05-30,4.271303944986679,3,153
42,Listing 42,3612,Host 42,Horta-Guinardó,Poble Sec,41.446887785528574,2.1202749433732233,Private room,187,13,24,2025-12-31,2.4538250335618024,4,208
43,Listing 43,8041,Host 43,Ciutat Vella,Sants,41.424965183174294,2.244467266738376,Entire home/apt,102,7,53,2026-03-25,2.0327839190405212,8,271
44,Listing 44,7235,Host 44,Ciutat Vella,Barri Gòtic,41.36300862401306,2.1824294303842526,Entire home/apt,93,1,155,2026-04-06,4.515953894172146,6,142
45,Listing 45,6486,Host 45,Sants-Montjuïc,Sants,41.42582631959291,2.244873324172983,Shared room,352,1,72,2025-09-29,3.0192549127013897,2,98
46,Listing 46,8099,Host 46,Horta-Guinardó,Sants,41.35245869164588,2.1648746817495197,Entire home/apt,102,3,119,2026-01-04,2.883070035648589,9,307
47,Listing 47,1775,Host 47,Gràcia,Poble Sec,41.3522123551529,2.146772419962789,Entire home/apt,123,10,55,2025-07-06,2.793829723121988,2,68
48,Listing 48,9226,Host 48,Ciutat Vella,Sant Pere,41.38236102191495,2.1759212794260367,Entire home/apt,95,4,64,2025-11-12,1.855847580097657,5,246
49,Listing 49,4152,Host 49,Gràcia,El Raval,41.39886431904047,2.1659267532949364,Private room,62,4,92,2025-08-10,3.9282155176456364,4,260
50,Listing 50,2585,Host 50,Ciutat Vella,Barri Gòtic,41.42704074178078,2.1158497026392618,Shared room,214,2,85,2025-05-28,1.263992220078865,7,275
51,Listing 51,4943,Host 51,Ciutat Vella,Poble Sec,41.418329537660654,2.1961239472035308,Entire home/apt,151,1,79,2025-12-08,4.694474800206375,8,78
52,Listing 52,8555,Host 52,Ciutat Vella,Sant Pere,41.39459027063768,2.13240572737644,Private room,329,3,168,,4.469926025234804,5,145
53,Listing 53,4073,Host 53,Horta-Guinardó,El Raval,41.377362666628166,2.1929381932346743,Entire home/apt,307,11,107,2025-07-21,1.6874016283744908,5,110
54,Listing 54,2021,Host 54,Eixample,El Raval,41.449712450015774,2.197530163859723,Shared room,386,4,178,2025-06-27,3.6473188491583186,2,257
55,Listing 55,4843,Host 55,Gràcia,Poble Sec,41.392618130223596,2.1228037279692975,Private room,405,3,117,2025-06-28,2.8661159722479574,8,92
56,Listing 56,8989,Host 56,Horta-Guinardó,La Barceloneta,41.395138702432966,2.1092024440666,Private room,447,8,198,2025-12-31,1.688246509996173,2,12
57,Listing 57,7873,Host 57,Horta-Guinardó,Barri Gòtic,41.36636238211917,2.217114237910266,Entire home/apt,187,10,156,2026-02-11,4.9426082399772335,6,259
58,Listing 58,6675,Host 58,Horta-Guinardó,El Raval,41.429480954875,2.168970063565398,Shared room,212,1,82,2026-03-07,0.12618672924132102,8,108
59,Listing 59,1161,Host 59,Horta-Guinardó,Poble Sec,41.41936822257815,2.1087245693258216,Private room,458,2,146,2026-02-25,1.2632301531064334,6,329
60,Listing 60,5297,Host 60,Horta-Guinardó,Poble Sec,41.37207696127888,2.249229947575465,Entire home/apt,436,13,193,,2.600370305555752,4,188
61,Listing 61,1995,Host 61,Sants-Montjuïc,Sant Pere,41.358238104561586,2.108667084149455,Private room,160,7,168,,2.6097650173928195,4,94
62,Listing 62,8629,Host 62,Gràcia,La Barceloneta,41.418049930207474,2.204255284328783,Entire home/apt,151,4,172,2025-06-21,2.944665374727821,6,104
63,Listing 63,2016,Host 63,Horta-Guinardó,Barri Gòtic,41.41545112142811,2.247551838789512,Private room,66,8,14,,3.7583808601145963,4,7
64,Listing 64,8869,Host 64,Gràcia,Sants,41.37732595269982,2.135877015632389,Entire home/apt,317,11,130,2025-08-26,3.117389152596482,8,66
65,Listing 65,7439,Host 65,Sants-Montjuïc,Sant Pere,41.44508635622504,2.1213374053030796,Private room,231,13,138,2025-07-13,3.001407302640185,9,190
66,Listing 66,8892,Host 66,Sants-Montjuïc,El Raval,41.365105789178095,2.1182077409133644,Entire home/apt,421,3,180,2026-04-17,0.26757231456521646,1,255
67,Listing 67,7863,Host 67,Gràcia,El Raval,41.393233480104264,2.1454912721351396,Entire home/apt,73,6,173,2026-02-23,1.8826514389464917,4,8
68,Listing 68,8916,Host 68,Ciutat Vella,Sant Pere,41.44436159201676,2.115156871651597,Entire home/apt,78,9,29,2025-07-22,1.16027869850578,4,116
69,Listing 69,9529,Host 69,Eixample,Poble Sec,41.39197273169261,2.20382420125412,Entire home/apt,220,1,56,2025-05-29,1.3268505580098773,2,266
70,Listing 70,1878,Host 70,Ciutat Vella,El Raval,41.41385259476641,2.1093437697195094,Entire home/apt,458,1,145,2025-11-23,2.7716873717017245,6,98
71,Listing 71,5887,Host 71,Ciutat Vella,La Barceloneta,41.38975943979628,2.1764133192224686,Entire home/apt,277,8,178,2025-09-02,0.9975265746480422,3,297
72,Listing 72,5859,Host 72,Ciutat Vella,Barri Gòtic,41.37742152023487,2.2495045280779467,Entire home/apt,427,3,127,,1.4697455050844876,7,163
73,Listing 73,7331,Host 73,Horta-Guinardó,La Barceloneta,41.448397764795985,2.2220955404259026,Entire home/apt,237,5,47,2025-12-09,1.1854235425867006,5,140
74,Listing 74,9571,Host 74,Sants-Montjuïc,El Raval,41.3909334006315,2.1922829157346517,Entire home/apt,395,1,193,2026-01-21,4.742514716090974,4,267
75,Listing 75,9684,Host 75,Ciutat Vella,Sants,41.439409920367915,2.145938043117992,Private room,279,5,135,2026-02-27,4.723328660855476,5,36
76,Listing 76,8208,Host 76,Sants-Montjuïc,Barri Gòtic,41.37299546058911,2.193584375443746,Entire home/apt,370,11,21,2025-11-21,3.0497077929802585,8,73
77,Listing 77,6276,Host 77,Gràcia,Barri Gòtic,41.37131047040251,2.179056219586748,Shared room,389,6,5,2025-08-06,4.622612343659499,3,72
78,Listing 78,3062,Host 78,Eixample,Sant Pere,41.35311340828845,2.163912507583556,Private room,168,8,184,2026-02-03,3.9290632273418655,7,307
79,Listing 79,1064,Host 79,Gràcia,Sant Pere,41.41516668253759,2.11960655651103,Private room,205,13,103,2026-01-30,2.949739414009044,6,198
80,Listing 80,9006,Host 80,Gràcia,Sants,41.38685263437238,2.23299063228607,Entire home/apt,321,3,35,2025-07-25,0.03217605748397856,1,129
81,Listing 81,3568,Host 81,Horta-Guinardó,Poble Sec,41.43643582498397,2.1674676973231985,Private room,224,3,78,2025-06-20,3.8625814303970203,7,245
82,Listing 82,6463,Host 82,Eixample,Barri Gòtic,41.39732099066916,2.129193376773115,Entire home/apt,153,12,115,2026-04-13,3.5124417079423442,7,311
83,Listing 83,3027,Host 83,Gràcia,Sants,41.44681934279148,2.1551639026315934,Entire home/apt,141,11,56,,3.07626826641207,1,59
84,Listing 84,3695,Host 84,Gràcia,Sant Pere,41.36855255157031,2.162119462879339,Entire home/apt,235,11,48,2025-11-16,3.8021215584123587,9,278
85,Listing 85,6258,Host 85,Eixample,Sant Pere,41.43686231679556,2.224130684335031,Private room,332,10,172,2025-12-20,2.5646108238738288,6,102
86,Listing 86,6618,Host 86,Eixample,Barri Gòtic,41.427659685279174,2.21004215708421,Entire home/apt,230,9,81,2026-03-13,3.5204163566066953,2,295
87,Listing 87,7736,Host 87,Gràcia,La Barceloneta,41.427092184464406,2.215395734046201,Entire home/apt,219,4,65,,4.675860433632467,5,319
88,Listing 88,1391,Host 88,Eixample,El Raval,41.43447832281169,2.101654689664297,Shared room,236,4,76,2026-03-18,1.8790250792304315,4,340
89,Listing 89,6892,Host 89,Gràcia,Sant Pere,41.426102399094304,2.1624230997269644,Private room,224,12,44,2025-07-24,3.540609174503127,7,150
90,Listing 90,4561,Host 90,Gràcia,Poble Sec,41.41262203216314,2.1722016227452987,Entire home/apt,271,7,78,2026-02-16,2.3784390900547936,8,156
91,Listing 91,7184,Host 91,Horta-Guinardó,Poble Sec,41.36312448776824,2.1028788415234585,Entire home/apt,282,2,19,2025-07-15,3.371998259069908,1,205
92,Listing 92,4099,Host 92,Ciutat Vella,Sant Pere,41.353252617949124,2.138971981311755,Private room,211,8,191,,3.8144666777718204,5,178
93,Listing 93,7278,Host 93,Gràcia,La Barceloneta,41.44208478478157,2.2140434734683203,Entire home/apt,470,6,122,2025-06-16,0.2272625021789798,3,196
94,Listing 94,9392,Host 94,Sants-Montjuïc,La Barceloneta,41.411665031452074,2.12056645585935,Entire home/apt,183,3,66,2026-01-04,3.2330022197433097,1,222
95,Listing 95,4104,Host 95,Ciutat Vella,Sants,41.42965372909762,2.180296519717889,Entire home/apt,440,9,82,2025-05-04,1.1337059220347228,3,88
96,Listing 96,8215,Host 96,Ciutat Vella,Poble Sec,41.39815223515126,2.132280280802586,Shared room,273,5,2,2025-11-14,3.350162689037834,6,286
97,Listing 97,3454,Host 97,Ciutat Vella,Sants,41.36173081889624,2.101818116196584,Private room,202,8,181,2025-05-14,2.3416509296690675,7,275
98,Listing 98,9996,Host 98,Horta-Guinardó,Poble Sec,41.36251857922026,2.1361802186399315,Private room,82,7,63,2025-09-10,3.867763709324436,8,235
99,Listing 99,3731,Host 99,Gràcia,El Raval,41.4185565287229,2.246381063236508,Private room,104,8,39,2025-09-03,0.6170040760279821,4,182
100,Listing 100,9154,Host 100,Horta-Guinardó,El Raval,41.393030589489946,2.2202305667824485,Entire home/apt,491,7,58,,3.1316117582809753,3,208
101,Listing 101,6056,Host 101,Gràcia,Barri Gòtic,41.37005247267003,2.243936496648155,Entire home/apt,56,3,182,2025-10-31,1.3923536446377616,5,129
102,Listing 102,9110,Host 102,Horta-Guinardó,Sants,41.39915945467415,2.1731781065889546,Entire home/apt,293,2,61,,4.264909976652957,9,152
103,Listing 103,4840,Host 103,Horta-Guinardó,Sant Pere,41.356420893707515,2.1164604298016254,Entire home/apt,362,7,131,2025-06-25,4.641917528181537,6,12
104,Listing 104,2028,Host 104,Sants-Montjuïc,Sants,41.40819714019144,2.182193923346054,Entire home/apt,175,3,59,2026-03-17,4.981991468395277,9,121
105,Listing 105,8385,Host 105,Horta-Guinardó,Sant Pere,41.376899340443515,2.1681566001839943,Private room,61,3,115,2026-03-23,3.9800370121364166,6,358
106,Listing 106,1502,Host 106,Eixample,La Barceloneta,41.42975591006372,2.2266535624109425,Private room,65,2,74,2026-04-06,3.7686703521400227,2,219
107,Listing 107,7910,Host 107,Sants-Montjuïc,Sants,41.38103619589236,2.114712387117637,Private room,257,4,121,2026-03-17,1.0775037943377552,5,105
108,Listing 108,7938,Host 108,Horta-Guinardó,La Barceloneta,41.39552201490818,2.173236170553267,Entire home/apt,92,8,106,2025-12-01,1.6800352949505437,9,69
109,Listing 109,5488,Host 109,Ciutat Vella,El Raval,41.35116205399081,2.1225072997040977,Private room,422,12,95,2026-01-03,2.3284127088113977,8,194
110,Listing 110,1206,Host 110,Eixample,El Raval,41.35724468877946,2.148701389033509,Private room,184,1,90,2025-07-04,3.8669052389112486,7,185
111,Listing 111,6134,Host 111,Eixample,Barri Gòtic,41.38924935564067,2.21060356160817,Entire home/apt,277,1,157,2025-12-19,4.574829325389843,1,98
112,Listing 112,6977,Host 112,Eixample,Sants,41.39799388347171,2.171402719405315,Private room,160,12,129,2025-09-26,0.9456955001149231,4,81
113,Listing 113,8721,Host 113,Sants-Montjuïc,La Barceloneta,41.41000205481193,2.1563832427718657,Entire home/apt,356,5,61,,4.611837423350514,7,74
114,Listing 114,8035,Host 114,Horta-Guinardó,Sant Pere,41.379166257870935,2.1591714417855052,Entire home/apt,209,11,48,,3.47812326177029,7,339
115,Listing 115,2484,Host 115,Horta-Guinardó,El Raval,41.41949818861266,2.168917015260898,Entire home/apt,380,5,136,2025-09-18,3.053853653425193,6,191
116,Listing 116,8858,Host 116,Ciutat Vella,El Raval,41.43601223971892,2.2177524815755585,Entire home/apt,313,11,91,2026-03-26,0.9992063564096976,8,324
117,Listing 117,1863,Host 117,Ciutat Vella,Sant Pere,41.42798509888934,2.233812703341035,Entire home/apt,274,12,158,2025-05-27,0.27762516404575277,6,213
118,Listing 118,3790,Host 118,Eixample,La Barceloneta,41.35396188253484,2.2433002029755893,Private room,266,1,123,,2.8423244925396993,3,314
119,Listing 119,8408,Host 119,Ciutat Vella,La Barceloneta,41.39805069472578,2.218035507938294,Shared room,94,6,60,2025-10-31,3.257578416644462,4,317
120,Listing 120,9755,Host 120,Sants-Montjuïc,Sants,41.36049301784182,2.147311034362202,Private room,263,1,47,2026-02-26,1.0539072467734412,3,143
121,Listing 121,6116,Host 121,Horta-Guinardó,Sants,41.374204501586256,2.2032202059129813,Private room,108,5,152,2026-01-15,2.782281029127282,1,215
122,Listing 122,7019,Host 122,Eixample,Poble Sec,41.448666259326714,2.165640468608309,Entire home/apt,181,9,163,2026-02-10,4.282467013812868,5,360
123,Listing 123,2757,Host 123,Ciutat Vella,Poble Sec,41.364249554290154,2.138200593306908,Private room,153,12,135,2025-12-01,4.1753297272751,1,323
124,Listing 124,8574,Host 124,Sants-Montjuïc,Barri Gòtic,41.399888815345136,2.2261307369138885,Entire home/apt,244,5,57,2026-03-15,4.636775902931486,1,14
125,Listing 125,7374,Host 125,Sants-Montjuïc,El Raval,41.41181557343182,2.1057639523443488,Entire home/apt,462,6,100,2025-07-15,1.8294290477844022,2,216
126,Listing 126,7892,Host 126,Ciutat Vella,Sants,41.420246497054414,2.2352642988203137,Entire home/apt,206,8,111,,1.5902478627545935,4,34
127,Listing 127,2678,Host 127,Horta-Guinardó,La Barceloneta,41.4059648683487,2.16922161969371,Entire home/apt,147,11,172,2025-07-20,3.747130029904043,6,182
128,Listing 128,4242,Host 128,Ciutat Vella,Sant Pere,41.35097708474192,2.195580221521242,Entire home/apt,275,1,61,2026-03-06,2.155562025485025,8,269
129,Listing 129,5636,Host 129,Eixample,La Barceloneta,41.3826461308244,2.1989030883308676,Entire home/apt,461,2,38,2025-12-22,0.43774332013890305,3,357
130,Listing 130,2059,Host 130,Ciutat Vella,El Raval,41.40177116433847,2.2342676611059806,Entire home/apt,254,9,57,,1.4140056533524987,1,99
131,Listing 131,7668,Host 131,Sants-Montjuïc,Poble Sec,41.358786649914485,2.195500452325081,Shared room,128,3,98,2026-01-03,2.0929114276574454,3,6
132,Listing 132,4157,Host 132,Ciutat Vella,La Barceloneta,41.38506269312092,2.192090037714009,Entire home/apt,173,6,191,2026-03-23,1.46258212738126,3,29
133,Listing 133,6915,Host 133,Horta-Guinardó,Barri Gòtic,41.35332031087914,2.1099978060841034,Entire home/apt,477,5,43,,1.661027854736608,5,304
134,Listing 134,3693,Host 134,Gràcia,El Raval,41.3578578497155,2.1777612032917806,Entire home/apt,267,11,28,,1.4688795308719538,4,143
135,Listing 135,4627,Host 135,Ciutat Vella,Poble Sec,41.38969232762016,2.1225253501225563,Private room,53,2,58,2025-09-02,0.20749583591539722,4,110
136,Listing 136,6450,Host 136,Horta-Guinardó,Sant Pere,41.363271575404305,2.210615065308223,Entire home/apt,139,7,70,2025-05-01,3.1854735041222124,9,231
137,Listing 137,2663,Host 137,Horta-Guinardó,Poble Sec,41.40675408482616,2.1768332881219012,Entire home/apt,153,4,91,2025-07-12,2.9864621017673465,7,178
138,Listing 138,6592,Host 138,Sants-Montjuïc,Barri Gòtic,41.418946496913726,2.202034166881253,Entire home/apt,442,1,8,2025-08-16,3.266917492393403,4,71
139,Listing 139,8392,Host 139,Horta-Guinardó,El Raval,41.43005866991091,2.1062509350903578,Entire home/apt,168,13,126,,0.9615494801681373,3,209
