id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,listing_id_x,avg_price,price_std,availability_rate,listing_id_y,review_count,avg_sentiment,room_type_encoded,neighbourhood_group_encoded
1,Listing 1,8270,Host 1,Ciutat Vella,Sant Pere,41.36586051052931,2.1830703361068564,Entire home/apt,446,4,156,2026-04-10,1.8190482057046675,8,125,1,446.6172602739726,50.76525923523422,0.7068493150684931,1.0,3.0,0.6666666666666666,0,0
2,Listing 2,1860,Host 2,Eixample,El Raval,41.438087075919896,2.145828646598704,Entire home/apt,149,9,177,2025-12-18,0.9536299379544732,4,344,2,149.59019178082193,17.261658927205197,0.6958904109589041,2.0,7.0,0.8571428571428571,0,1
3,Listing 3,6390,Host 3,Eixample,Sant Pere,41.43718435277452,2.1595472275611427,Entire home/apt,80,11,97,2026-03-01,1.735311842496975,3,225,3,79.99756164383562,9.233566651301071,0.7315068493150685,3.0,4.0,0.75,0,1
4,Listing 4,6191,Host 4,Gràcia,Barri Gòtic,41.35292472830346,2.167080381075725,Private room,435,5,140,2025-07-17,2.7361876021032154,8,220,4,434.2104931506849,49.574329743692466,0.7506849315068493,4.0,5.0,0.8,1,2
5,Listing 5,6734,Host 5,Ciutat Vella,Sant Pere,41.43258167505648,2.1900891500040927,Private room,65,5,128,2000-01-01,4.958864404896247,2,210,5,64.42923287671232,7.211285261601488,0.7150684931506849,5.0,4.0,0.5,1,0
6,Listing 6,7265,Host 6,Horta-Guinardó,Sant Pere,41.36288698674735,2.1773519141544746,Private room,186,6,161,2026-04-07,3.3210085653589285,3,24,6,186.17326027397263,21.867085671620334,0.7342465753424657,6.0,2.0,0.0,1,3
7,Listing 7,1466,Host 7,Horta-Guinardó,La Barceloneta,41.38351188542592,2.2379087959821624,Entire home/apt,378,1,92,2000-01-01,0.9962297720415704,3,15,7,377.7125479452055,41.803294264295516,0.6575342465753424,7.0,4.0,0.5,0,3
8,Listing 8,5426,Host 8,Eixample,Sant Pere,41.42435082562916,2.1745445224358746,Private room,215,1,175,2025-06-18,0.2248072079577556,1,181,8,215.20276712328766,24.807450632469916,0.7013698630136986,8.0,3.0,0.3333333333333333,1,1
9,Listing 9,6578,Host 9,Ciutat Vella,Sant Pere,41.36607598960483,2.248823702223497,Entire home/apt,359,9,47,2000-01-01,0.631782406572553,6,328,9,361.55624657534247,40.9236229758132,0.7123287671232876,9.0,4.0,0.5,0,0
10,Listing 10,9322,Host 10,Eixample,Poble Sec,41.43179670241191,2.227713743661764,Shared room,489,3,176,2000-01-01,2.8127760063652367,2,128,10,487.85961643835617,57.03017022888845,0.7068493150684931,10.0,7.0,0.42857142857142855,2,1
11,Listing 11,2685,Host 11,Sants-Montjuïc,Barri Gòtic,41.43321341779578,2.1312765771536006,Private room,149,4,63,2025-07-17,3.825801644083832,1,41,11,148.31621917808218,17.590704024674434,0.6904109589041096,11.0,5.0,0.4,1,4
12,Listing 12,1769,Host 12,Eixample,La Barceloneta,41.400746773376085,2.2395892821965875,Entire home/apt,158,1,60,2025-09-05,4.702096036503734,2,335,12,156.8606301369863,18.929691962328647,0.6931506849315069,12.0,5.0,0.4,0,1
13,Listing 13,7949,Host 13,Eixample,Poble Sec,41.35063858717169,2.1174549596828216,Private room,392,9,156,2026-04-19,0.079115859984104,6,235,13,392.9051780821918,47.06933272024564,0.6712328767123288,13.0,6.0,0.16666666666666666,1,1
14,Listing 14,3433,Host 14,Horta-Guinardó,Sants,41.37870381331749,2.222617456273679,Entire home/apt,222,8,38,2026-01-31,2.613800707809349,4,359,14,221.23213698630136,24.940043881824604,0.684931506849315,14.0,6.0,0.16666666666666666,0,3
15,Listing 15,6311,Host 15,Horta-Guinardó,Barri Gòtic,41.41169269183758,2.157093494021487,Private room,286,2,127,2025-10-30,2.354336781115884,6,33,15,286.3838904109589,31.616829313075232,0.7095890410958904,15.0,1.0,1.0,1,3
16,Listing 16,6051,Host 16,Horta-Guinardó,Barri Gòtic,41.44811861780275,2.2316961480667605,Entire home/apt,211,8,87,2026-01-02,3.28027510987852,9,344,16,211.26783561643833,25.069207601221134,0.7123287671232876,16.0,5.0,1.2,0,3
17,Listing 17,7420,Host 17,Sants-Montjuïc,Sants,41.41318135270167,2.230208503516117,Entire home/apt,442,7,25,2025-11-01,2.79789427232671,8,44,17,441.4936164383562,51.435642205412826,0.7178082191780822,17.0,7.0,0.5714285714285714,0,4
18,Listing 18,2184,Host 18,Horta-Guinardó,Sant Pere,41.37598035810642,2.220888810017643,Private room,265,11,16,2000-01-01,3.435195752912403,1,133,18,264.552301369863,30.11334007932536,0.6986301369863014,18.0,7.0,0.7142857142857143,1,3
19,Listing 19,5555,Host 19,Ciutat Vella,Poble Sec,41.41340057030996,2.218504565446059,Entire home/apt,313,6,70,2025-10-21,3.290412923745952,8,20,19,313.50602739726025,36.556895117113605,0.6520547945205479,19.0,6.0,0.16666666666666666,0,0
